image	scientific	color	common	family	form	type	petals	size	leaves	location	habitat	url
penstemon rydbergii	Penstemon rydbergii	Violet	Rydberg Penstemon	Plantain (Plantaginaceae)	Forb/Herb	Perennial	4 Petals	3/4” 1” 1.5”	Alternate	Cedar Breaks	Mountain Riparian	mojave-plants-perenials/penstemon-rydbergii.html
dieteria bigelovii var. commixta	Dieteria bigelovii var. commixta	Violet Blue	Bigelow’s Tansyaster	Daisy (Asteraceae)	"Forb (Biennial, Perennial)"	Perennial	Many	1.5” 2” 3”	Alternate	Cedar Breaks	Mountain Riparian	
erigeron speciosus	Erigeron speciosus	Violet Pink	Showy Fleabane	Daisy (Asteraceae)	Forb/Herb	Perennial	Many	3/4” 1” 1.5”	Alternate	Cedar Breaks	Mountain Riparian	
mertensia arizonica	Mertensia arizonica	Blue	Aspen Bluebells	Forget-Me-Not (Boraginaceae)	Forb/Herb	Perennial	5 Petals	1/2” 3/4”	Alternate	Cedar Breaks	Mountain Riparian	
mertensia ciliata	Mertensia ciliata	Blue Violet	Streamside Bluebells	Forget-Me-Not (Boraginaceae)	Forb/Herb	Perennial	5 Petals	1/2” 3/4”	Alternate	Cedar Breaks	Mountain Riparian	
castilleja miniata	Castilleja miniata	Red	Giant Red Indian Paintbrush	Broomrape (Orobanchaceae)	Forb/Herb	Perennial	None	1.5” 2” 3” 4”	Alternate	Cedar Breaks	Mountain Riparian	
lupinus leucophyllus	Lupinus leucophyllus	White Yellow Purple	Velvet Lupine	Pea (Fabaceae)	Forb/Herb	Perennial	Pea	1/2”	Alternate	Cedar Breaks	Mountain Riparian	
melilotus officinalis	Melilotus officinalis	Yellow White	Sweet Yellow Clover	Pea (Fabaceae)	Forb/Herb	Perennial	Pea	1/4”	Alternate	Cedar Breaks	Mountain Riparian	
linaria dalmatica	Linaria dalmatica	Yellow Orange	Balkan Toadflax	Plantain (Plantaginaceae)	Forb/Herb	Perennial	Capsule	1/4”	Alternate	Cedar Breaks	Mountain Riparian	
oreochrysum parryi	Oreochrysum parryi	Yellow	Parri’s Goldenrod	Sunflower (Asteraceae)	Forb/Herb	Perennial	Many	1/2” 3/4” 1” 1.5”	Alternate	Cedar Breaks	Mountain Riparian	
helianthus annuus	Helianthus annuus	Yellow	Common Sunflower	Sunflower (Asteraceae)	Forb (Annual)	Annual	Many	1” 1.5” 2”	Alternate	Cedar Breaks	Mountain Riparian	
lactuca serriola	Lactuca serriola	Yellow	Prickly Lettuce	Sunflower (Asteraceae)	"Forb (Annual, Biennial)"	Annual	Many	1/2”	Alternate	Cedar Breaks	Mountain Riparian	
cirsium clavatum var americanum	Cirsium clavatum var americanum	White Pink	Fringed Thistle	Aster (Asteraceae)	"Forb (Biennial, Perennial)"	Perennial	None	1/2” 3/4” 1”	Alternate	Cedar Breaks	Mountain Riparian	
leucanthemum vulgare	Leucanthemum vulgare	White Yellow	Oxeye Daisy	Aster (Asteraceae)	Forb/Herb	Perennial	Many	3/4” 1” 2” 3”	Alternate	Cedar Breaks	Mountain Riparian	
oxytropis oreophila	Oxytropis oreophila	Violet Blue	Mountain Locoweed	Pea (Fabaceae)	Forb/Herb	Perennial	Pea	1/4” 1/2”	Alternate Basal	Cedar Breaks	Mountain Riparian	
solidago multiradiata	Solidago multiradiata	Yellow	Rocky Mountain Goldenrod	Sunflower (Asteraceae)	Forb/Herb	Perennial	Many	1/4”	Alternate Basal	Cedar Breaks	Mountain Riparian	
potentilla hippiana	Potentilla hippiana	Yellow	Wooly Cinquefoil	Rose (Rosaceae)	Forb/Herb	Perennial	5 Petals	1/2” 3/4”	Alternate Basal	Cedar Breaks	Mountain Riparian	
achillea millefolium	Achillea millefolium	White	Yarrow	Sunflower (Asteraceae)	Forb/Herb	Perennial	5 Petals	1/4”	Alternate Compound	Cedar Breaks	Mountain Riparian	
lupinus argenteus	Lupinus argenteus	Blue Violet	Silvery Lupine	Pea (Fabaceae)	Forb/Herb	Perennial	Pea	1/4” 1/2”	Alternative	Cedar Breaks	Mountain Riparian	
rumex hymenosepalus	Rumex hymenosepalus	Red	Arizona Dock	Knotweed (Polygonaceae)	Forb/Herb	Perennial	None	Tiny	Basal	Cedar Breaks	Mountain Riparian	
eriogonum umbellatum	Eriogonum umbellatum	Yellow Red	Sulphurflower Buckwheat	Knotweed (Polygonaceae)	Forb/Herb	Perennial	6 Petals	1/4”	Basal	Cedar Breaks	Mountain Riparian	
eriogonum wrightii var subscaposum	Eriogonum wrightii var subscaposum	White Pink	Wright’s Buckwheat	Buckwheat (Polygonaceae)	Forb/Herb	Perennial	5 Petals	1/4”	Basal	Cedar Breaks	Mountain Riparian	
hymenoxys richardsonii	Hymenoxys richardsonii	Yellow	Pingue Rubberweed	Aster (Asteraceae)	"Forb, Subshrub (Perennial)"	Perennial	Many	3/4”	Basal	Cedar Breaks	Mountain Riparian	
agoseris glauca	Agoseris glauca	Yellow	Pale Agoseris	Sunflower (Asteraceae)	Forb/Herb	Perennial	Many	1/2” 3/4” 1” 1.5”	Basal	Cedar Breaks	Mountain Riparian	
white colorado columbine (aquilegia coerulea var. ochroleuca)	White Colorado Columbine (Aquilegia coerulea var. ochroleuca)	White Blue	Colorado Columbine	Buttercup (Ranunculaceae)	Forb/Herb	Perennial	5 Petals	2” 3” 4”	Basal	Cedar Breaks	Mountain Riparian	
heliomeris multiflora	Heliomeris multiflora	Yellow	Showy Goldeneye	Sunflower (Asteraceae)	Forb/Herb	Perennial	Many	1” 1.5”	Opposite	Cedar Breaks	Mountain Riparian	
senna covesii	Senna covesii	Yellow	Desert Senna	Pea (Fabaceae)	Forb/Herb	Perennial	5 Petals	1”	Opposite	Cedar Breaks	Mountain Riparian	
geranium richardsonii	Geranium richardsonii	White Pink	Richardson’s Geranium	Geranium (Geraniaceae)	Forb/Herb	Perennial	5 Petals	3/4” 1”	Opposite	Cedar Breaks	Mountain Riparian	
helianthella uniflora	Helianthella uniflora	Yellow	Oneflower	Sunflower (Asteraceae)	Forb/Herb	Perennial	Many	1/2” 3/4” 1”	Opposite Alternate	Cedar Breaks	Mountain Riparian	
penstemon rydbergii	Penstemon rydbergii	Violet Blue	Rydberg Penstemon	Plantain (Plantaginaceae)	Forb/Herb	Perennial	5 Petals	1/2”	Opposite Basal	Cedar Breaks	Mountain Riparian	
penstemon speciosus	Penstemon speciosus	Blue Violet	Royal Penstemon	Plantain (Plantaginaceae)	Forb/Herb	Perennial	5 Petals	1” 1.5”	Opposite Basal	Cedar Breaks	Mountain Riparian	
eremogone fendleri	Eremogone fendleri	White	Fendler’s Sandwort	Carnation (Caryophyllaceae)	Forb/Herb	Perennial	5 Petals	1/4” 1/2”	Opposite Basal	Cedar Breaks	Mountain Riparian	
verbascum thapsus	Verbascum thapsus	Yellow	Common Mullein	Scrophulariaceae (Figwort)	Forb/Herb	Perennial				Spring Mountains	Mountain	
astragalus oophorus var. clokeyanus	Astragalus oophorus var. clokeyanus	"Purple, White"	Clokey’s Egg Milkvetch	Fabaceae (Pea)	Forb/Herb	Perennial				Spring Mountains	Mountain	
dieteria canescens	Dieteria canescens	Purple	Hoary Aster	Aster (Asteraceae)	Forb/Herb	Perennial				Spring Mountains	Mountain	
petrophytum caespitosum	Petrophytum caespitosum	White	Mat Rock Spiraea	Rosaceae (Rose)	Forb/Herb	Perennial				Spring Mountains	Mountain	
chamaesyce fendleri	Chamaesyce fendleri	"White, Red, Yellow, Green"	Fendler’s Sandmat	Euphorbiaceae (Spurge)	Forb/Herb	Perennial				Spring Mountains	Mountain	
aquilegia formosa	Aquilegia formosa	"Red, Yellow"	Western Columbine	Ranunculaceae (Buttercup or Crowfoot)	Forb/Herb	Perennial				Spring Mountains	Mountain	
stanleya pinnata	Stanleya pinnata	Yellow	Desert Princes’ Plume	Brassicaceae (Mustard)	Forb/Herb	Perennial				Spring Mountains	Mountain	
gutierrezia sarothrae	Gutierrezia sarothrae	Yellow	Broom Snakeweed	Asteraceae (Sunflower)	Forb/Herb	Perennial				Spring Mountains	Mountain	
angelica scabrida	Angelica scabrida	White	Charleston Mountain Angelica	Apiaceae (Parsley)	Forb/Herb	Perennial				Spring Mountains	Mountain	
oenothera caespitosa	Oenothera caespitosa	"White, Pink, Violet, Purple"	Tufted Evening Primrose	Onagraceae (Evening Primrose)	Forb/Herb	Perennial				Spring Mountains	Mountain	
oenothera suffrutescens	Oenothera suffrutescens	"White, Pink, Red"	Scarlet Bee Blossom	Onagraceae (Evening Primrose)	Forb/Herb	Perennial				Spring Mountains	Mountain	
leptosiphon nuttallii ssp. pubescens	Leptosiphon nuttallii ssp. pubescens	White	Nuttall’s Linanthus	Polemoniaceae (Phlox)	Forb/Herb	Perennial				Spring Mountains	Mountain	
heliomeris multiflora var. nevadensis	Heliomeris multiflora var. nevadensis	Yellow	Nevada Goldeneye	Asteraceae (Aster)	Forb/Herb	Perennial				Spring Mountains	Mountain	
eriogonum umbellatum	Eriogonum umbellatum	"Yellow, Red, White"	Sulphurflower Buckwheat	Polygonaceae (Knotweed)	Forb/Herb	Perennial				Spring Mountains	Mountain	
glandularia gooddingii	Glandularia gooddingii	"Purple, Pink"	Southwestern Mock Vervain	Verbenaceae (Verbena)	Forb/Herb	Perennial				Spring Mountains	Mountain	
castilleja martini var. clokeyi	Castilleja martini var. clokeyi	"Red, Yellow, Green"	Clokey’s Paintbrush	Orobanchaceae (Broomrape)	Forb/Herb	Perennial				Spring Mountains	Mountain	
linum lewisii	Linum lewisii	"White, Blue, Purple"	Lewis Flax	Linaceae (Flax)	Forb (Perennial)	Perennial				Spring Mountains	Mountain	
fallugia paradoxa	Fallugia paradoxa	White	Apache Plume	Rosaceae(Rose)	Shrub	Perennial				Spring Mountains	Mountain	
eriogonum microtheca	Eriogonum microtheca	"white, red , pink , yellow"	Slender Buckwheat	Polygonaceae (Buckwheat/Knotweed)	Shrub (Perennial)	Perennial				Spring Mountains	Mountain	
lycium fremontii	Lycium fremontii	"Purple, White"	Fremont’s Desert-Thorn	Solanaceae (Nightshades)	Shrub (Perennial)	Perennial					Desert	
eucnide urens	Eucnide urens	"White, Yellow"	Desert Rock Nettle	Loasaceae (Loasa)	Sub-shrub (Perennial)	Perennial					Desert	
thelypodium integrifolium	Thelypodium integrifolium	"White, Purple"	Telescoping Mustard	Brassicaceae (Mustard/Cabbage)	Forb (Biennial)	Perennial					Desert	
chylismia claviformis	Chylismia claviformis	White	Browneyes	Onagraceae (Evening Primrose)	Forb (Annual)	Annual					Desert	
psathyrotes annua	Psathyrotes annua	"Yellow, Purple"	Turtleback	Asteraceae (Aster)	Forb/Herb	Perennial					Desert	
verbascum thapsus	Verbascum thapsus	Yellow	Mullein	Figwort (Scrophulariaceae)	Forb/Herb	Perennial					Invasive	
rumex obtusifolius	Rumex obtusifolius	Red	Broad-leaved Dock	Polygonaceae (Buckwheat)	Forb/Herb	Perennial					Invasive	
ricinus communis	Ricinus communis	"Red, Yellow"	Castor Bean Plant	Euphorbiaceae (Spurge)	Shrub/Tree (Perennial)	Perennial					Invasive	
lepidium latifolium	Lepidium latifolium	White	Tall Whitetop	Brassicaceae (Mustard/Cabbage)	Forb/Herb						Invasive Type C	
nicotiana glauca	Nicotiana glauca	Yellow	Tree Tobacco	Solanaceae (Nightshades)	Tree/Shrub (Perennial)	Perennial					Invasive	
kali tragus	Kali tragus	"Pink, White"	Russian Prickley Thistle	Chenopodiaceae (Goosefoot)	Forb (Annual)	Annual					Invasive	
